fte_cat1;fte_cat;cred_sum;n;cred_avg;cred_sum_r;n_r;cred_sum.cat;n.cat;cred_avg.cat;cred_sum_r.cat;n_r.cat
0;0-9;710756116;9031;78701.81773889935;0.0477975524766059;0.0726063851169372;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
1;0-9;941892842.1;32405;29066.281194260144;0.06334123834344076;0.2605259561194054;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
2;0-9;924679645.3;18712;49416.39831658829;0.06218367014414278;0.1504385647556338;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
3;0-9;842053728.4;12392;67951.39835377663;0.05662716980590942;0.09962776263637314;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
4;0-9;753413074.36;9191;81972.9163703623;0.05066618513386536;0.07389273453767797;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
5;0-9;688089658.7;7071;97311.50596803847;0.04627325861846414;0.05684860471286269;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
6;0-9;577995073.33;4878;118490.17493439934;0.03886952110125824;0.039217577964834424;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
7;0-9;496631891.1;3745;132611.98694259013;0.03339793825482647;0.0301086161292138;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
8;0-9;493543016.68;3214;153560.3661107654;0.03319021491082699;0.025839543989130347;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
9;0-9;400467352.94;2467;162329.69312525334;0.026930980805400635;0.01983390013104685;6829522398.91;103106;66237.87557377844;0.45927772959474067;0.8289396460931157
10-49;10-49;5118227128.31;17642;290116.03720156447;0.34419503996583994;0.14183610300442986;5118227128.31;17642;290116.03720156447;0.34419503996583994;0.14183610300442986
50-249;50-249;2008446131;3181;631388.2838729959;0.13506575206580226;0.025574234421102564;2008446131;3181;631388.2838729959;0.13506575206580226;0.025574234421102564
>249;>249;913940555.3;454;2013084.923568282;0.061461478373617096;0.0036500164813519534;913940555.3;454;2013084.923568282;0.061461478373617096;0.0036500164813519534
